from,to,distance
13,254,0.872000
257,102,1.322000
99,150,1.222000
254,257,0.233000
150,14,1.220000
102,100,0.239000
103,99,0.256000
198,192,0.255000
197,221,0.283000
221,346,1.850000
345,16,1.031000
346,345,0.218000
15,198,3.208000
149,15,0.557000
16,347,0.751000
136,149,1.369000
347,135,1.171000
107,136,1.095000
135,110,1.108000
110,117,0.255000
113,107,0.170000
117,118,0.782000
117,119,0.782000
124,113,1.493000
118,125,0.795000
119,125,0.795000
4,124,1.195000
320,124,1.195000
125,128,1.275000
125,129,1.275000
155,4,1.749000
155,320,1.749000
70,4,1.749000
70,320,1.749000
128,184,2.373000
128,185,2.373000
129,184,2.373000
129,185,2.373000
223,155,2.439000
223,70,2.439000
71,155,2.439000
71,70,2.439000
184,174,1.687000
184,341,1.687000
185,174,1.687000
185,341,1.687000
220,223,0.221000
220,71,0.221000
72,223,0.221000
72,71,0.221000
174,171,0.294000
174,342,0.294000
341,171,0.294000
341,342,0.294000
204,220,2.939000
204,72,2.939000
74,220,2.939000
74,72,2.939000
171,211,2.861000
171,63,2.861000
342,211,2.861000
342,63,2.861000
211,208,0.259000
211,64,0.259000
63,208,0.259000
63,64,0.259000
201,204,0.249000
201,74,0.249000
75,204,0.249000
75,74,0.249000
2,201,3.248000
2,75,3.248000
77,201,3.248000
77,75,3.248000
3,2,0.313000
3,77,0.313000
78,2,0.313000
78,77,0.313000
208,242,5.476000
208,243,5.476000
64,242,5.476000
64,243,5.476000
5,3,2.467000
5,78,2.467000
242,190,0.571000
243,190,0.571000
6,5,0.205000
190,229,0.569000
227,6,0.483000
228,6,0.483000
196,227,1.930000
196,228,1.930000
237,227,1.930000
237,228,1.930000
229,234,2.358000
229,235,2.358000
200,196,0.212000
200,237,0.212000
232,196,0.212000
232,237,0.212000
281,200,1.467000
281,232,1.467000
282,200,1.467000
282,232,1.467000
234,277,1.399000
234,278,1.399000
235,277,1.399000
235,278,1.399000
277,284,0.320000
277,287,0.320000
278,284,0.320000
278,287,0.320000
266,281,0.707000
266,282,0.707000
267,281,0.707000
267,282,0.707000
284,264,0.302000
284,268,0.302000
287,264,0.302000
287,268,0.302000
271,266,0.448000
271,267,0.448000
272,266,0.448000
272,267,0.448000
145,263,1.742000
263,9,5.762000
340,339,0.226000
339,161,2.283000
161,271,3.717000
161,272,3.717000
264,9,6.794000
268,9,6.794000
161,146,4.577000
146,178,5.767000
178,182,0.314000
183,180,0.229000
182,323,3.665000
324,183,3.762000
337,336,0.315000
334,335,0.286000
336,19,1.305000
18,334,1.400000
21,18,1.606000
23,18,1.606000
19,354,2.891000
19,283,2.891000
19,28,2.891000
19,30,2.891000
354,274,0.788000
354,275,0.788000
354,31,0.788000
283,274,0.788000
283,275,0.788000
283,31,0.788000
28,274,0.788000
28,275,0.788000
28,31,0.788000
30,274,0.788000
30,275,0.788000
30,31,0.788000
274,350,0.739000
274,27,0.739000
275,350,0.739000
275,27,0.739000
31,350,0.739000
31,27,0.739000
270,21,2.841000
270,23,2.841000
32,21,2.841000
32,23,2.841000
350,351,0.260000
350,24,0.260000
27,351,0.260000
27,24,0.260000
351,352,0.498000
351,26,0.498000
24,352,0.498000
24,26,0.498000
73,270,1.044000
73,32,1.044000
76,270,1.044000
76,32,1.044000
352,90,0.893000
352,94,0.893000
26,90,0.893000
26,94,0.893000
90,82,0.334000
90,85,0.334000
94,82,0.334000
94,85,0.334000
256,73,1.780000
256,76,1.780000
258,73,1.780000
258,76,1.780000
65,73,1.780000
65,76,1.780000
82,33,0.864000
85,33,0.864000
33,273,1.022000
33,40,1.022000
187,256,1.153000
187,258,1.153000
187,65,1.153000
188,256,1.153000
188,258,1.153000
188,65,1.153000
269,187,0.136000
269,188,0.136000
34,187,0.136000
34,188,0.136000
163,168,0.295000
163,91,0.295000
89,168,0.295000
89,91,0.295000
193,169,0.338000
193,87,0.338000
88,169,0.338000
88,87,0.338000
7,8,0.341000
7,86,0.341000
84,8,0.341000
84,86,0.341000
1,0,0.336000
1,93,0.336000
92,0,0.336000
92,93,0.336000
160,111,0.295000
160,120,0.295000
111,159,0.600000
120,159,0.600000
159,151,0.337000
159,181,0.337000
104,126,1.495000
121,104,2.016000
130,127,3.645000
127,127,0.000000
317,325,0.922000
158,157,1.771000
331,156,2.068000
8,193,3.082000
8,88,3.082000
86,193,3.082000
86,88,3.082000
168,1,3.383000
168,92,3.383000
91,1,3.383000
91,92,3.383000
209,7,3.753000
209,84,3.753000
210,7,3.753000
210,84,3.753000
0,357,3.375000
0,95,3.375000
93,357,3.375000
93,95,3.375000
162,209,1.341000
162,210,1.341000
165,209,1.341000
165,210,1.341000
357,164,1.329000
357,166,1.329000
95,164,1.329000
95,166,1.329000
338,162,0.496000
338,165,0.496000
164,344,0.486000
164,96,0.486000
166,344,0.486000
166,96,0.486000
344,343,0.231000
344,97,0.231000
96,343,0.231000
96,97,0.231000
343,333,7.580000
97,333,7.580000
333,332,0.257000
139,137,0.181000
139,80,0.181000
79,137,0.181000
79,80,0.181000
137,338,5.195000
80,338,5.195000
10,139,3.862000
10,79,3.862000
332,330,2.027000
330,167,2.308000
167,328,0.478000
167,260,0.478000
265,10,3.695000
328,327,0.152000
328,261,0.152000
260,327,0.152000
260,261,0.152000
279,265,0.181000
280,265,0.181000
327,148,1.047000
261,148,1.047000
83,279,1.008000
83,280,1.008000
148,81,0.035000
203,326,0.202000
157,11,0.887000
12,331,0.883000
11,349,0.861000
262,12,0.859000
349,294,4.522000
295,262,4.511000
294,296,0.263000
296,297,1.412000
297,303,0.470000
226,295,2.155000
303,305,2.119000
186,226,2.122000
305,306,1.036000
230,186,1.042000
306,312,1.964000
249,230,1.971000
311,313,0.551000
313,321,0.380000
247,195,0.675000
321,231,1.363000
322,247,1.744000
231,329,1.318000
325,322,1.250000
329,197,3.579000
192,317,3.004000
329,103,4.115000
100,319,3.155000
100,197,4.099000
100,36,6.996000
35,17,1.552000
17,197,5.162000
17,319,4.280000
17,103,5.875000
35,177,10.194000
173,170,0.164000
177,189,0.835000
20,173,0.925000
170,140,1.932000
140,134,0.630000
353,222,0.233000
224,318,0.416000
142,353,0.232000
316,142,0.151000
318,315,0.606000
143,316,0.445000
314,143,1.150000
315,310,1.346000
309,314,1.025000
310,144,0.831000
308,309,0.525000
144,250,0.531000
307,308,0.755000
250,356,1.656000
293,307,0.749000
292,293,0.582000
356,355,0.429000
291,292,0.554000
355,207,0.634000
286,288,0.617000
288,112,0.950000
112,147,0.502000
301,300,0.508000
147,304,1.131000
304,152,0.496000
290,289,0.139000
289,301,1.477000
285,286,0.747000
172,153,0.301000
176,172,2.057000
191,236,0.271000
236,83,5.255000
81,203,2.512000
179,199,0.994000
152,302,0.543000
302,291,0.789000
207,154,0.675000
154,290,0.565000
300,299,1.609000
300,58,1.609000
299,298,1.599000
299,59,1.599000
299,194,1.599000
58,298,1.599000
58,59,1.599000
58,194,1.599000
114,285,0.756000
69,285,0.756000
151,191,6.036000
181,191,6.036000
153,141,2.757000
312,131,2.986000
312,132,2.986000
131,311,1.218000
132,311,1.218000
195,249,4.066000
189,160,4.676000
141,20,4.274000
273,276,0.182000
273,41,0.182000
40,276,0.182000
40,41,0.182000
276,175,1.440000
276,37,1.440000
41,175,1.440000
41,37,1.440000
255,269,1.185000
255,34,1.185000
38,269,1.185000
38,34,1.185000
175,202,0.628000
175,39,0.628000
37,202,0.628000
37,39,0.628000
225,255,0.714000
225,38,0.714000
42,255,0.714000
42,38,0.714000
202,205,0.549000
202,22,0.549000
39,205,0.549000
39,22,0.549000
52,225,1.278000
52,42,1.278000
53,225,1.278000
53,42,1.278000
205,206,0.651000
205,43,0.651000
22,206,0.651000
22,43,0.651000
206,60,0.445000
206,61,0.445000
43,60,0.445000
43,61,0.445000
212,52,0.448000
212,53,0.448000
44,52,0.448000
44,53,0.448000
60,213,0.589000
60,45,0.589000
61,213,0.589000
61,45,0.589000
98,212,0.588000
98,44,0.588000
101,212,0.588000
101,44,0.588000
213,214,0.888000
213,47,0.888000
45,214,0.888000
45,47,0.888000
217,238,0.753000
217,50,0.753000
48,238,0.753000
48,50,0.753000
214,217,0.379000
214,48,0.379000
47,217,0.379000
47,48,0.379000
105,98,2.099000
105,101,2.099000
106,98,2.099000
106,101,2.099000
238,239,0.895000
238,51,0.895000
50,239,0.895000
50,51,0.895000
239,241,0.319000
239,66,0.319000
51,241,0.319000
51,66,0.319000
240,105,0.960000
240,106,0.960000
25,105,0.960000
25,106,0.960000
241,244,0.813000
241,54,0.813000
66,244,0.813000
66,54,0.813000
108,240,1.130000
108,25,1.130000
109,240,1.130000
109,25,1.130000
244,245,0.587000
244,55,0.587000
54,245,0.587000
54,55,0.587000
245,246,0.346000
245,56,0.346000
55,246,0.346000
55,56,0.346000
348,108,0.450000
348,109,0.450000
57,108,0.450000
57,109,0.450000
248,348,1.233000
248,57,1.233000
62,348,1.233000
62,57,1.233000
46,348,1.233000
46,57,1.233000
49,348,1.233000
49,57,1.233000
246,251,1.873000
246,29,1.873000
56,251,1.873000
56,29,1.873000
251,215,0.348000
251,216,0.348000
29,215,0.348000
29,216,0.348000
252,248,1.343000
252,62,1.343000
252,46,1.343000
252,49,1.343000
67,248,1.343000
67,62,1.343000
67,46,1.343000
67,49,1.343000
253,252,0.941000
253,67,0.941000
68,252,0.941000
68,67,0.941000
215,218,0.942000
215,219,0.942000
216,218,0.942000
216,219,0.942000
218,114,0.847000
218,69,0.847000
219,114,0.847000
219,69,0.847000
298,253,0.730000
298,68,0.730000
59,253,0.730000
59,68,0.730000
194,253,0.730000
194,68,0.730000
127,133,0.252000
133,122,1.965000
123,121,2.371000
122,115,2.881000
116,123,2.875000
115,233,5.355000
233,138,0.586000
233,259,0.586000
134,116,5.382000
138,177,2.183000
259,177,2.183000